ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2023-12-04T00:00:00Z Rel,60.25798760180118kW,810.1090087890625kW,295.55189932152047kW,198.6261050547493kW,714.1556396484375kW,62.24384191201795kW,173.92153464405592kW,2382.740234375kW,32.09055791943166kW,295.62459835617653kW,443.474450943912kW,128.05405349298763kW,23.193632125854492kW,132.43041124096624kW,84.67777252197266kW,242.36063311329602kW,24.635963439941406kW,183.19631424038488kW,113.07978606833346kW,"",365.62972513198883kW,60.14993127968575kW,347.02081891660333kW,"",467.54082289236567kW,1861.71875kW,82.87034399341663kW,184.77411769125197kW,300.5091269152252kW,42.40744210669289kW,55.94077561749356kW,347.895869083228kW,330.2415103054049kW,532.0131736426877kW,257.9060974121094kW,61.95001731583372kW,142.63815307617188kW,82.63217608654938kW,472.69550393881656kW,136.5353597438778kW,134.93728637695312kW,670.3218598189175kW,441.66468403427757kW,473.48209507977543kW
2023-12-05T00:00:00Z Rel,66.22701330529317kW,765.7681274414062kW,289.78958882561466kW,202.79865478630418kW,723.4326171875kW,62.63772741428127kW,176.76890817792287kW,2445.027099609375kW,27.203722845834708kW,271.82144827648466kW,396.40646589738384kW,116.55397379963496kW,22.06717300415039kW,129.177909454328kW,87.54226684570312kW,232.50697753164502kW,22.190032958984375kW,167.51520522806373kW,117.35625708959695kW,"",406.99892620898993kW,59.69358779227295kW,327.44291691691774kW,"",481.7047244753661kW,1913.7967529296875kW,83.41549949239796kW,161.5098346441763kW,295.5825284751256kW,40.87573768664291kW,59.34833271865503kW,349.38742568740133kW,329.67619359899436kW,519.3087443493024kW,316.62860107421875kW,60.01588499261271kW,186.88336181640625kW,76.96593492273928kW,438.4747041031171kW,134.65196327227144kW,133.74652099609375kW,622.9696419913682kW,420.6660077367009kW,494.54749141799107kW
2023-12-06T00:00:00Z Rel,58.10549660958626kW,788.0233764648438kW,298.9807747593632kW,195.05937263091408kW,711.4254150390625kW,62.04829505485519kW,179.72466653514797kW,2413.8359375kW,28.154018373555598kW,280.38709056059537kW,405.9160916872382kW,123.40406770750337kW,21.872377395629883kW,130.2926118188434kW,87.36608123779297kW,245.79392796913743kW,25.878969192504883kW,181.01749831782448kW,115.86850575332294kW,"",373.9742308715539kW,59.55492401215768kW,333.5003411789295kW,"",493.0921600521935kW,1789.5286865234375kW,89.08914087922486kW,160.1835536603572kW,303.8308442864594kW,40.8192822967856kW,57.63202152294148kW,349.12438128294764kW,337.46622579362634kW,537.6625969145041kW,341.583740234375kW,56.81759555677575kW,200.49664306640625kW,75.6480687280054kW,470.35625988253827kW,128.6302501424154kW,132.0357208251953kW,629.9477059961262kW,433.8686262187254kW,476.4840264940263kW
2023-12-07T00:00:00Z Rel,67.87886110787039kW,824.6082153320312kW,307.68335483886557kW,184.72043228228884kW,704.76708984375kW,59.42433368804284kW,184.74844511244024kW,2408.15673828125kW,31.847255579685708kW,302.92529567382934kW,429.01919756041536kW,128.60458770707803kW,21.88904571533203kW,128.11381628769425kW,87.30864715576172kW,244.08716007471088kW,26.726533889770508kW,196.59835593470766kW,114.3339325977254kW,"",382.933381041068kW,59.55690646639579kW,359.7769786626322kW,"",487.8876648616792kW,1789.5286865234375kW,108.73374279357768kW,183.58812517219135kW,301.6327667709634kW,39.40167733596431kW,53.82913013533314kW,352.02030327461387kW,337.1690434773764kW,561.5683136018127kW,273.7334289550781kW,55.634711325499744kW,163.09202575683594kW,76.67554795508035kW,439.8812904608699kW,126.56435305913288kW,130.1595916748047kW,648.6841860866554kW,457.7491748523712kW,465.24034210964453kW
2023-12-08T00:00:00Z Rel,71.23634363668936kW,822.5681762695312kW,311.4824614551336kW,182.72466265969828kW,663.4788818359375kW,48.507182066573016kW,177.87320806114784kW,2423.33837890625kW,34.431999620099845kW,302.52405567151527kW,455.5319591903687kW,130.30500384825254kW,26.74134635925293kW,126.20258406277053kW,87.79838562011719kW,237.9296827846103kW,24.093278884887695kW,201.9519775078911kW,108.6455655515634kW,"",365.96592044053284kW,61.80656468797614kW,363.47690921889404kW,"",445.2206437029663kW,1789.5286865234375kW,88.93888757122886kW,182.94019026191125kW,285.639645595727kW,36.65980212871676kW,56.61025774757065kW,339.1184243546587kW,348.0889071556373kW,572.8846372554921kW,265.716064453125kW,52.67053691360685kW,222.4500274658203kW,72.63409993436602kW,429.12097611215444kW,124.71136524200453kW,127.64103698730469kW,660.4754827683062kW,451.0222734133402kW,450.05373764850464kW
2023-12-09T00:00:00Z Rel,75.7192909383332kW,810.939208984375kW,307.290117484199kW,129.66785833941566kW,495.82635498046875kW,37.43864902061443kW,143.29906462722334kW,1910.8577880859375kW,20.069075298243096kW,299.01696159998545kW,498.56419350518127kW,137.99498479154371kW,17.52618980407715kW,89.28816829822681kW,88.01312255859375kW,217.51704335089062kW,22.593772888183594kW,194.86930532685022kW,103.2789341183063kW,"",356.25051738880273kW,51.504317512335575kW,326.13974261248575kW,"",408.577563947395kW,1789.5286865234375kW,75.51228415312589kW,200.28399206761966kW,271.66278905462326kW,30.816992289843427kW,52.25363509789654kW,277.09770913618587kW,330.10248940149967kW,546.0339031643341kW,234.50979614257812kW,37.658785961579376kW,210.12286376953125kW,64.95911929929699kW,422.5053517899695kW,116.25387354647673kW,125.29859161376953kW,672.9226985634701kW,438.43281926049116kW,454.8369451436294kW
2023-12-10T00:00:00Z Rel,77.2070139348948kW,767.1668090820312kW,299.51537056446136kW,130.3832158922266kW,469.97314453125kW,37.7721370968995kW,150.0280948377537kW,1944.8292236328125kW,15.756947571270972kW,285.5366782093046kW,459.35872102666735kW,128.2221334031776kW,14.143586158752441kW,90.88486822799405kW,86.93355560302734kW,190.70921474633403kW,24.97475814819336kW,175.26668160774094kW,102.01326538121268kW,"",416.43820472682kW,51.77853715649358kW,298.3161063602236kW,"",359.97727535812953kW,1789.5286865234375kW,75.82909260802786kW,189.13833794452535kW,257.12914017589003kW,31.70041689345132kW,42.091253729374245kW,268.3469790056014kW,323.9989874543082kW,517.1445146083832kW,227.09014892578125kW,38.03314235729201kW,226.36380004882812kW,69.27104977691616kW,425.492274583887kW,115.86542717112435kW,125.01427459716797kW,627.8865259212918kW,428.01838528173965kW,475.1294736044494kW
2023-12-11T00:00:00Z Rel,75.09155685888395kW,822.452880859375kW,310.72060830010327kW,190.83806299589278kW,662.2413330078125kW,42.18317627986272kW,173.34832404383883kW,2433.27783203125kW,31.37155055591355kW,294.9797925491684kW,437.0888811047873kW,124.98957845732014kW,25.573486328125kW,135.2703994348314kW,88.13636016845703kW,240.75031247924903kW,25.280370712280273kW,194.65942562403498kW,111.77648438391869kW,"",411.85202315719kW,58.92735461208555kW,344.1430042798427kW,"",475.15093221558476kW,1789.5286865234375kW,81.4245434218866kW,171.60947303189175kW,283.4430977549377kW,39.775986992098666kW,52.02914122475525kW,348.66645210919535kW,329.37623330045636kW,560.5393533420566kW,225.3805389404297kW,54.89092423895995kW,124.75006103515625kW,79.69650050834376kW,443.25964833153625kW,124.43114422021094kW,124.954833984375kW,638.7842722779725kW,450.8045107318741kW,475.2419008521681kW
2023-12-12T00:00:00Z Rel,75.77963504605823kW,870.2874755859375kW,314.1688047391396kW,187.32481493420076kW,672.092041015625kW,43.93769247999893kW,179.99355555834572kW,2446.7607421875kW,30.786399025387215kW,310.6219205822772kW,442.25914728659217kW,126.19609354204611kW,20.217735290527344kW,130.74280564917467kW,87.73544311523438kW,242.1828072903771kW,26.4202938079834kW,202.16021418041635kW,113.61373898144132kW,"",421.0061907817697kW,58.48894649099418kW,357.8562845625701kW,"",475.90086981031624kW,1975.3880615234375kW,81.68106996915951kW,179.23795332996926kW,281.42133498492075kW,39.692651887072444kW,52.85572099539978kW,341.34256895436187kW,329.185139165455kW,564.5907386225248kW,227.1470489501953kW,54.86874231938956kW,171.56028747558594kW,78.52881012483876kW,430.7206008332745kW,126.3027774251832kW,125.32709503173828kW,642.1959675697043kW,444.87445833594666kW,468.1434475896977kW
2023-12-13T00:00:00Z Rel,65.35949445843691kW,880.52783203125kW,309.7074544126019kW,185.56861953196707kW,617.831787109375kW,42.15791671978106kW,179.91474742315447kW,2437.950927734375kW,32.49887897996989kW,311.9078562909586kW,438.57663257810765kW,127.20344946596371kW,24.74561882019043kW,131.15689676726296kW,87.05110931396484kW,234.82676507411128kW,26.63642692565918kW,208.93613695886398kW,113.04509490560588kW,"",420.7958777964558kW,60.86652794736407kW,344.2003857181688kW,"",463.359213678925kW,2036.2158203125kW,81.4617468467465kW,183.16572928870175kW,290.3586105297225kW,39.773899218682885kW,52.82105505671771kW,350.00762130348767kW,323.58852818047563kW,543.34546740938kW,227.2885284423828kW,55.80816649476695kW,224.8854522705078kW,78.45445481565265kW,434.7399470180932kW,125.39560306566723kW,125.06597900390625kW,640.4777035437693kW,438.81761624442214kW,470.2609624938603kW
2023-12-14T00:00:00Z Rel,74.96639761814376kW,815.5772705078125kW,309.7400980665058kW,183.43846583878542kW,631.990234375kW,43.639309279896636kW,179.29994176626178kW,2470.08447265625kW,29.874285076680014kW,293.61000442116335kW,422.9663570746669kW,129.62996327718105kW,22.731687545776367kW,128.6303509170039kW,88.21029663085938kW,237.16718004800651kW,28.741178512573242kW,195.43852217109102kW,114.92699138243994kW,"",405.8692872400642kW,64.86176691858853kW,338.68288342952724kW,"",467.40287580101545kW,1998.7911376953125kW,79.98982792554077kW,178.45366657239404kW,285.9405290248657kW,40.82403368530448kW,50.449278734900375kW,339.47982650262327kW,327.95208982291064kW,534.0623416229522kW,265.5165710449219kW,55.52177549390882kW,189.8412322998047kW,81.81830215308403kW,445.67569578206127kW,124.13196788416947kW,125.3302001953125kW,634.5544634504672kW,427.252809481444kW,468.8477831884666kW
2023-12-15T00:00:00Z Rel,74.2219270966229kW,861.1101684570312kW,301.6710007826489kW,179.11141447226225kW,652.6982421875kW,52.192122876026kW,164.51194137952936kW,2404.939697265625kW,26.82656472237028kW,288.72654084912045kW,412.7029515806834kW,121.75317702849712kW,24.484548568725586kW,128.19827398538587kW,87.59320068359375kW,232.861692210568kW,25.09307289123535kW,189.42645929089284kW,112.73807590926127kW,"",435.38660576608453kW,65.85402513596752kW,322.50818030516274kW,"",444.2076106573034kW,1934.355712890625kW,77.7732502104617kW,178.8949761805711kW,289.59152139345787kW,40.938113203887575kW,46.2775349434217kW,347.45493217203307kW,325.895593376866kW,533.7031462068911kW,236.1128692626953kW,53.5268784865847kW,240.5948486328125kW,76.04938317316548kW,453.7010967879824kW,118.21218065826967kW,125.33333587646484kW,619.8800277448587kW,428.59060840500723kW,473.1090176714791kW
2023-12-16T00:00:00Z Rel,65.6481202132614kW,805.4495849609375kW,284.9509458563065kW,127.56207027082095kW,486.5341491699219kW,50.09838958726989kW,132.53623953519042kW,1928.1585693359375kW,13.935311541303445kW,280.187454460815kW,401.2240853814727kW,116.2464717683087kW,12.497533798217773kW,87.65483227376589kW,86.65296173095703kW,201.90735725650094kW,21.57771110534668kW,180.60638581858723kW,102.32085452009144kW,"",412.29468142297554kW,60.741463557525925kW,276.3496755206142kW,"",390.3374688759557kW,1809.667724609375kW,70.76762252604522kW,170.5684035518437kW,278.6193647345788kW,30.672997203513443kW,35.92228309810156kW,264.85237545243007kW,318.237621564865kW,493.4105713844306kW,232.20742797851562kW,38.138190244060894kW,235.04483032226562kW,65.84183434627674kW,427.8834842314548kW,110.78803893539639kW,124.67515563964844kW,581.2439607189327kW,380.1372869816533kW,437.27795733734393kW
2023-12-17T00:00:00Z Rel,65.34181815836165kW,762.9968872070312kW,281.8142744599448kW,126.32196768822509kW,462.57171630859375kW,45.91085130852686kW,143.86295278125343kW,1937.505615234375kW,14.921567033396824kW,284.05187368728485kW,397.7935558951343kW,116.4735972474239kW,13.81332778930664kW,87.55240991000774kW,88.24525451660156kW,174.79449972258664kW,25.913875579833984kW,179.25489211365044kW,98.34540429309548kW,"",398.13477776103537kW,53.112229557478905kW,276.5725972009589kW,"",354.69073060000375kW,1765.2188720703125kW,68.7996827439909kW,169.39659884726564kW,275.2543250175756kW,32.71172890508613kW,33.99506445920023kW,261.942553088577kW,317.9375865392331kW,491.72079608140206kW,255.81605529785156kW,39.32447884630272kW,227.9052276611328kW,68.96013579611427kW,463.0738556222565kW,108.88253685032865kW,122.35558319091797kW,577.9342654955838kW,384.74263994640717kW,461.06206050078066kW
2023-12-18T00:00:00Z Rel,63.77827762820097kW,851.6290283203125kW,285.0627869740241kW,186.68934602516666kW,666.857421875kW,60.056985424999795kW,169.29887877058096kW,2354.478515625kW,20.42061054092866kW,277.7769666176371kW,399.3399744496521kW,113.64956088816669kW,23.224510192871094kW,130.79148467823322kW,85.3869857788086kW,235.04198376134602kW,25.760684967041016kW,188.85707533465475kW,109.25453890712168kW,"",405.4982195610469kW,59.0037699007547kW,319.89087284635593kW,"",441.4790593277965kW,1999.997802734375kW,77.44980573972066kW,166.4520344504608kW,293.14087938750305kW,38.96718798129645kW,44.072620585958255kW,324.4741232831386kW,324.34574801656925kW,523.4633578787902kW,242.18228149414062kW,54.66630474225232kW,169.22998046875kW,78.68481945620644kW,476.71492186263765kW,116.09161486210652kW,125.24516296386719kW,607.6015024803314kW,412.00270232624484kW,442.4903215454246kW
2023-12-19T00:00:00Z Rel,65.63588923343902kW,893.0444946289062kW,287.3360137672786kW,192.39875117143015kW,647.9502563476562kW,53.030807146981864kW,167.84711901170266kW,2369.785400390625kW,17.7221656663771kW,276.0253624216719kW,392.8737579094919kW,117.34772889720067kW,21.762462615966797kW,129.7525412284886kW,86.48809051513672kW,221.9681295023141kW,24.48721694946289kW,175.45380647306106kW,110.73466923360466kW,"",415.000361719838kW,59.37683708107023kW,288.99979506280704kW,"",456.6310583248848kW,1912.2430419921875kW,77.74166215256409kW,162.21631519291142kW,296.8520978449007kW,38.36259404231001kW,46.645879708550616kW,325.6703394169276kW,322.5443796292055kW,509.16396405820444kW,256.254638671875kW,52.42610350902434kW,131.03419494628906kW,73.36060563087462kW,450.8935316622704kW,117.90613279501589kW,125.28705596923828kW,594.7227641271661kW,414.61667102495795kW,456.560002772543kW
2023-12-20T00:00:00Z Rel,63.92933298442101kW,768.51171875kW,289.6985840899858kW,193.9545579158821kW,627.0704345703125kW,53.65624946148309kW,165.59500405090782kW,2330.310546875kW,14.91899857455934kW,276.39099388422835kW,387.08913283312785kW,113.64432493810301kW,22.973403930664062kW,131.38820463577906kW,86.89932250976562kW,222.63336783983058kW,26.867033004760742kW,171.31572089195265kW,109.29782902726421kW,"",405.07080140890855kW,57.64837263747494kW,275.064407605948kW,"",461.61172639458226kW,1908.5kW,76.80331543869438kW,152.69857744517157kW,297.1687026317033kW,38.78825790667973kW,45.760138072768854kW,320.53261546435164kW,321.5834238483286kW,500.51833250646234kW,231.5541534423828kW,52.175035000156576kW,125.80677795410156kW,75.54785107480153kW,439.1166762514462kW,116.60744781794355kW,124.5062484741211kW,587.2776095157212kW,396.17822669064566kW,462.8735401875886kW
2023-12-21T00:00:00Z Rel,62.408013259304894kW,767.7742309570312kW,288.80373360457264kW,187.94773544823664kW,591.322021484375kW,55.033107483784434kW,164.42577745084415kW,2289.940185546875kW,15.58746055946307kW,273.922625960244kW,377.45841212378554kW,117.39395279204416kW,21.17170524597168kW,128.88652617295574kW,84.46501159667969kW,220.12393988220734kW,25.29142951965332kW,172.0084463893045kW,109.1317191721776kW,"",393.0434990759249kW,55.67530090795623kW,285.414947654053kW,"",457.0867613188426kW,1885.506591796875kW,74.40776791347407kW,157.39330106161242kW,297.5284379810756kW,36.655269243430205kW,43.005889475191125kW,315.33420284553756kW,321.59672447487145kW,503.81057573283226kW,225.39871215820312kW,51.88323310635713kW,111.7640609741211kW,76.80004871160895kW,451.03057478586857kW,119.64740898503204kW,124.77228546142578kW,561.5564040682053kW,398.21547127547035kW,447.14310726324743kW
2023-12-22T00:00:00Z Rel,59.66422443533377kW,822.2823486328125kW,292.98233678464555kW,171.33178654317504kW,579.1139526367188kW,53.47759332387534kW,143.42107130006505kW,2126.402587890625kW,15.291345398139072kW,286.2435951886355kW,388.8726260538453kW,118.4863832117892kW,83.97354125976562kW,122.2969812297821kW,86.95800018310547kW,212.53961982365016kW,20.91490936279297kW,194.10656624511407kW,102.03844717767502kW,"",378.73974402251065kW,57.514586383104415kW,298.3989275102263kW,"",425.3363063158815kW,1827.7430419921875kW,68.67565501093861kW,160.92729168415053kW,292.68999615333684kW,36.87103801407194kW,38.632887745654145kW,292.5044827872738kW,318.1734364848667kW,511.7198717968547kW,281.27288818359375kW,49.59132693899996kW,105.64228057861328kW,70.74906001051266kW,467.3000416377735kW,118.90797066741516kW,120.24501037597656kW,526.4181239057467kW,397.5665730900233kW,376.91050848201513kW
2023-12-23T00:00:00Z Rel,56.606716102185025kW,737.2720336914062kW,296.2056719813523kW,119.58095478737786kW,447.3419189453125kW,32.36453847792415kW,96.39195142171978kW,1898.3701171875kW,15.762328295255145kW,309.27245370564617kW,416.9729160976413kW,123.03211167362004kW,86.48617553710938kW,92.25382986863461kW,84.63599395751953kW,181.81572005784062kW,14.896592140197754kW,194.2226298348109kW,97.35550405696593kW,"",352.0212188692443kW,50.538550971393185kW,297.3275913808965kW,"",384.21623819174596kW,1805.4149169921875kW,65.4988196201678kW,163.07220609126264kW,241.90270573404052kW,30.878264910335908kW,22.507504533595487kW,231.00868248674612kW,318.4784518171239kW,533.0957880571157kW,288.36065673828125kW,39.6146363574045kW,57.675750732421875kW,64.60182243020446kW,397.4964043889213kW,111.19114768593413kW,114.0896987915039kW,409.77102206918954kW,365.0575292308242kW,357.45456042625324kW
2023-12-24T00:00:00Z Rel,60.27449275718804kW,766.7719116210938kW,284.43846576019547kW,120.4140144655441kW,442.6800537109375kW,32.896268475276464kW,94.1692132774105kW,1884.2578125kW,15.611246919631972kW,322.36910875055503kW,416.4883348553267kW,124.75140352849606kW,84.90227508544922kW,95.40143268673509kW,63.63282775878906kW,157.93849302715694kW,20.156780242919922kW,205.67812566315706kW,95.95659888294011kW,"",353.2772365294561kW,50.10640877732522kW,307.2529201318599kW,"",351.4241765947695kW,1732.705078125kW,66.25839883773408kW,170.00123809284648kW,237.53520739149175kW,31.197656294504785kW,23.903479362108122kW,230.54491954944743kW,316.765056527102kW,509.5893986027325kW,289.3725280761719kW,39.45938218695144kW,53.01808547973633kW,68.93555487721056kW,399.73878576808494kW,110.80565122463082kW,107.72298431396484kW,332.0621846033024kW,362.66851661434896kW,352.7332805301528kW
2023-12-25T00:00:00Z Rel,59.87212536021517kW,701.0260620117188kW,286.7374983443154kW,132.13593101554443kW,466.3767395019531kW,35.35252546378863kW,90.91619109312694kW,1783.779296875kW,13.675108628990476kW,300.04377512666906kW,379.2888814456373kW,99.83549966149869kW,85.47628021240234kW,96.71966492697044kW,8.38490104675293kW,191.80468075275442kW,15.62413215637207kW,179.4862835285402kW,93.85779497022986kW,"",390.3563238504204kW,49.53458763188784kW,267.5694898313945kW,"",381.22772330602kW,1736.9658203125kW,65.81856132008406kW,157.18826120314765kW,254.1418639387909kW,32.715622947039456kW,24.00109876954995kW,198.120878231084kW,309.2460855212037kW,481.84583535618276kW,257.185791015625kW,40.29471520203129kW,49.65012741088867kW,66.22258599775806kW,410.84595695707594kW,109.97683985869084kW,102.57806396484375kW,315.4350471196354kW,381.2376369536364kW,365.1831347892904kW
2023-12-26T00:00:00Z Rel,64.67859660135373kW,779.2921752929688kW,289.58488569648216kW,125.54667800311667kW,463.22735595703125kW,35.178995631469604kW,90.66482118332833kW,1911.68603515625kW,13.436753198018781kW,294.5108604070875kW,364.6210059978351kW,102.88877991270141kW,72.82035827636719kW,96.90261112160154kW,45.39609146118164kW,184.58254622856745kW,19.04749870300293kW,186.35594642003372kW,95.27875709418907kW,"",396.44939373687464kW,50.1539936384007kW,263.0161374706694kW,"",383.2444009473587kW,1773.7218017578125kW,64.99498887088569kW,144.19242159419596kW,255.92033042625124kW,34.28991284396913kW,27.394550961476803kW,189.68609380068582kW,309.5039107340351kW,489.0336236215519kW,269.5314025878906kW,40.648888795464124kW,51.604644775390625kW,63.814754911705315kW,396.17755344390935kW,109.80959161546497kW,95.35965728759766kW,310.29805024818114kW,369.32127628255796kW,376.8328125766477kW
2023-12-27T00:00:00Z Rel,56.21651374958184kW,779.6985473632812kW,287.1308705448225kW,123.27220532726355kW,448.53814697265625kW,34.405922571663496kW,89.47320419708892kW,1988.04248046875kW,13.599457989555821kW,291.65007515483455kW,359.54031102851576kW,101.7725482535363kW,73.55516815185547kW,96.83384531391981kW,86.2657470703125kW,183.3174936849099kW,13.238322257995605kW,189.16495272760005kW,102.97678646926522kW,"",402.01643344314kW,50.715723098825485kW,257.4420650369149kW,"",382.1280111644884kW,1779.293212890625kW,65.65498934427902kW,147.85825169351358kW,251.0962095765715kW,35.15178529423697kW,34.02801432426328kW,202.91033576735737kW,310.24098606356847kW,480.0913204705273kW,250.51025390625kW,42.0191108326117kW,75.7416763305664kW,64.67810412256807kW,379.3150252917958kW,110.93505241190948kW,104.18402862548828kW,305.0112471017135kW,371.13728886780916kW,385.1094262956688kW
2023-12-28T00:00:00Z Rel,52.96769033498232kW,734.7112426757812kW,287.05921025735387kW,126.83522408352951kW,491.38360595703125kW,33.57976667108362kW,89.11702136984572kW,2002.541015625kW,12.048395845073228kW,278.8140611353624kW,358.899691017292kW,101.12579762202722kW,79.70729064941406kW,96.08259766384406kW,86.24681091308594kW,181.12148379131588kW,13.053858757019043kW,172.76749887325096kW,101.76132831953196kW,"",427.09117790116204kW,50.53993355146159kW,246.74340971240287kW,"",392.02490246702115kW,1802.290771484375kW,65.27313242108733kW,146.9817362180463kW,253.64442764388195kW,32.75980393698922kW,34.285456026682134kW,203.13642439171122kW,306.6134484803237kW,469.1079464753465kW,236.4153289794922kW,41.96585850410993kW,73.10577392578125kW,62.89298284552716kW,380.37190656661966kW,110.34304108001568kW,103.84081268310547kW,299.2810494253369kW,375.32075415540606kW,396.44375219203783kW
2023-12-29T00:00:00Z Rel,54.838800921528446kW,722.78662109375kW,283.67177894062473kW,134.14730314334236kW,499.5054931640625kW,30.637688183607874kW,88.73354234933863kW,2040.417236328125kW,12.133030227102616kW,280.0621075079175kW,351.32748457484786kW,98.79897439029482kW,75.45323181152344kW,95.39946530518705kW,85.94862365722656kW,181.12199022531496kW,13.098613739013672kW,174.25343871416854kW,100.35142969917372kW,"",409.21848967552194kW,49.84895982287551kW,245.51481543894172kW,"",389.8753243901992kW,1749.359130859375kW,65.45535455650753kW,139.94545760543272kW,252.31450126912844kW,32.398815911235616kW,34.86842661204169kW,202.76253418675145kW,305.5508153046499kW,468.86280584229326kW,239.0736083984375kW,42.439782243525535kW,57.54281234741211kW,62.52503484438967kW,367.09222215934994kW,111.611717056875kW,100.32567596435547kW,294.64986192191077kW,362.62441516240415kW,396.3510234832764kW
2023-12-30T00:00:00Z Rel,52.75871696090266kW,699.2435302734375kW,280.33840488115953kW,127.37269142565886kW,485.59149169921875kW,29.020840949570665kW,88.84012527545286kW,1912.60400390625kW,11.491554529677934kW,270.7693601286853kW,350.6296479581908kW,96.87789981700759kW,72.82271575927734kW,92.53971770074638kW,86.79448699951172kW,169.08353810584134kW,11.930732727050781kW,155.7371739142031kW,95.76062578430879kW,"",398.2313748974274kW,49.67668090970429kW,240.4200709376513kW,"",380.1055158434974kW,1609.083251953125kW,65.66228177105937kW,139.5296478033067kW,246.67935521037504kW,30.494921257098483kW,30.64031550661285kW,222.70265452455584kW,306.0164118604309kW,461.4044930588758kW,238.15676879882812kW,41.58593778830986kW,56.92084503173828kW,62.10340957363447kW,368.83965117878415kW,110.87456743072572kW,107.23603820800781kW,293.9100446399052kW,325.58104356730405kW,385.61744636694607kW
2023-12-31T00:00:00Z Rel,58.398053467428305kW,739.3446655273438kW,280.431749647635kW,120.2480673789095kW,423.880615234375kW,31.53563310523828kW,89.41751282215102kW,1862.173583984375kW,13.970865633410428kW,281.57411056712874kW,356.6292115045472kW,99.35449374525633kW,71.44676971435547kW,95.25454828792154kW,79.41276550292969kW,146.16368304685332kW,13.982704162597656kW,166.80825864085426kW,95.34566100694526kW,"",390.62124271074987kW,50.03291604081788kW,259.1693047664783kW,"",348.9091811049427kW,1769.7252197265625kW,66.71403199509335kW,141.93296527579952kW,250.14050914799722kW,31.87005094764412kW,31.87190398326631kW,217.7926804901053kW,306.44398756133205kW,478.0019365642689kW,240.21815490722656kW,42.44256727496785kW,57.96810531616211kW,62.628190816331816kW,396.5472222582497kW,109.88176222068304kW,105.68354034423828kW,299.6588041192508kW,335.44819064599454kW,385.6039729810645kW
2024-01-01T00:00:00Z Rel,59.761831883390734kW,795.0411376953125kW,291.1552429815576kW,122.25366496253892kW,446.7357177734375kW,35.6372723893987kW,93.54066557928357kW,1893.01025390625kW,15.1181375781695kW,296.84630686477357kW,378.63784792158356kW,107.8949917870097kW,79.54248046875kW,99.84701522500441kW,68.18912506103516kW,142.576552380191kW,15.334449768066406kW,192.66401472074034kW,95.05150824237748kW,"",399.0004613025099kW,50.519656309066kW,285.06326522544583kW,"",382.48893941949905kW,1814.2525634765625kW,68.75394863265531kW,149.20927705844247kW,244.84369125966668kW,32.41371700044032kW,25.528814893541504kW,197.09355957048908kW,307.21614214332016kW,511.14239449606964kW,238.23001098632812kW,42.467971672349556kW,54.58081817626953kW,65.48341833728331kW,419.64161151956654kW,109.5975470640923kW,108.01062774658203kW,314.0879043813985kW,383.5283483416947kW,369.59312661559517kW
2024-01-02T00:00:00Z Rel,62.81316241076701kW,768.0338745117188kW,281.01113728072903kW,167.78157980035834kW,604.0418701171875kW,48.56877508834557kW,177.90795166898653kW,2259.26416015625kW,17.41244400278286kW,291.98738187101145kW,387.42397700415756kW,113.18028310016354kW,80.29193878173828kW,131.0616935442111kW,85.8353500366211kW,215.32095944395783kW,13.386324882507324kW,191.99436301796504kW,106.53797350795183kW,"",426.2170626732162kW,53.24664728036638kW,332.69662918055485kW,"",454.78056160962143kW,1967.74072265625kW,73.65761936540967kW,161.46888011579173kW,288.3962439791362kW,36.97573962030589kW,43.70509978164124kW,254.11210785795097kW,312.86753486597974kW,530.6067522765971kW,271.78564453125kW,55.18534542375139kW,159.42007446289062kW,76.3922331805141kW,448.55001623860176kW,113.59126402722472kW,124.40106201171875kW,330.6796226222428kW,383.88105938275635kW,417.28748768612195kW
2024-01-03T00:00:00Z Rel,58.99930105759031kW,800.2401123046875kW,283.1233428264548kW,176.0720775248387kW,608.9180297851562kW,47.2519838697822kW,175.9883462784906kW,2294.394775390625kW,24.941345987430296kW,287.8530725346676kW,385.75695485821427kW,107.08320249963687kW,80.07878112792969kW,126.86792901886824kW,85.93177032470703kW,211.89016805436867kW,19.831769943237305kW,186.91099636413463kW,108.07792307897856kW,"",356.5171705895886kW,53.427688464544424kW,337.1633356106724kW,"",462.1891898575538kW,1787.2601318359375kW,74.39234976159204kW,155.99837254859784kW,293.4774398219145kW,36.04792577096708kW,41.89438386246015kW,249.87948031919967kW,315.3899567462782kW,509.82032932316764kW,251.35008239746094kW,54.0306201886248kW,142.50196838378906kW,70.07187258821946kW,456.668565598594kW,114.96409094642715kW,123.71935272216797kW,331.07559744411026kW,387.76951129807384kW,429.95990056002535kW
